                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6396,                 2.4954,                 1.6401,                0.33232,                0.39423,                 0.3221,                0.15107,                 1.7709,                 8.8708,                 2.7857,             0.00065217,             0.00065217,             0.00065217
                      2,                 1.6633,                 1.9697,                 1.6292,                0.00045,                0.01923,                0.00023,                  6e-05,                    nan,                    nan,                    nan,              0.0013145,              0.0013145,              0.0013145
                      3,                 1.8559,                 2.1032,                  1.703,                0.00211,                0.23077,                0.00142,                 0.0005,                 3.0936,                 461.18,                 4.2881,              0.0019724,              0.0019724,              0.0019724
                      4,                 1.7765,                  2.002,                 1.7169,                0.11064,                0.06731,                0.03468,                 0.0097,                 2.9226,                 11.783,                 3.2429,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.7411,                  1.988,                 1.6616,                0.01327,                0.43269,                0.00882,                0.00419,                 1.9607,                 31.176,                 1.9507,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.6762,                 1.7922,                 1.6169,                0.71332,                0.43068,                0.49445,                0.28903,                 1.6441,                 2.5933,                 1.6883,              0.0019736,              0.0019736,              0.0019736
                      7,                  1.651,                 1.8221,                 1.6436,                0.64451,                0.59275,                0.58776,                0.32328,                 1.6493,                  2.598,                 1.7337,               0.001967,               0.001967,               0.001967
                      8,                 1.5604,                 1.6048,                 1.5263,                0.58576,                0.61538,                0.62976,                0.38962,                 1.4245,                 1.5761,                 1.5513,              0.0019604,              0.0019604,              0.0019604
                      9,                  1.512,                 1.6232,                 1.5212,                0.72948,                0.60577,                0.67821,                0.37469,                 1.6138,                 1.6733,                 1.7098,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.5038,                 1.5156,                 1.5228,                0.80679,                  0.625,                0.69515,                0.37049,                 1.5313,                 1.9304,                 1.7155,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.4545,                 1.4707,                 1.4788,                0.79363,                0.72115,                0.78925,                0.49057,                 1.3596,                 1.4269,                  1.572,              0.0019406,              0.0019406,              0.0019406
